idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
262,2018-08-09 18:15:00,2018-08-09 18:30:00,2018-08-09 18:45:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
292092,2018-07-20 23:15:00,2018-07-20 23:30:00,2018-07-20 23:45:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-49.0,-53.0,18.0,18.0,-51.0,-54.0,10.0,0.0,22.0,18.0,-52.0,-97.0,22.0,18.0,-54.0,-94.0,17.0,0.0,22.0,18.0,-56.0,-97.0,22.0,18.0,-57.0,-94.0,-85.0,23.0,-51,-86,0.0
3952,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-44.0,4.0,0.0,17.0,17.0,-44.0,-93.0,17.0,17.0,-43.0,-93.0,6.0,0.0,17.0,17.0,-43.0,-93.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
98364,2018-04-12 18:00:00,2018-04-12 18:15:00,2018-04-12 18:30:00,19,2,38,28,1,1.0,0.0,17.0,15.0,-46.0,-71.0,17.0,15.0,-46.0,-73.0,14.0,0.0,19.0,16.0,-71.0,-98.0,19.0,16.0,-70.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,-83.0,19.0,-40,-84,0.0
262,2018-08-09 18:30:00,2018-08-09 18:45:00,2018-08-09 19:00:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
4080,2019-06-05 16:15:00,2019-06-05 16:30:00,2019-06-05 16:45:00,19,5,13,28,1,0.0,0.0,25.0,23.0,-53.0,-76.0,25.0,23.0,-53.0,-77.0,7.0,0.0,25.0,,-64.0,-90.0,25.0,24.0,-64.0,-96.0,48.0,4.0,25.0,23.0,-61.0,-84.0,25.0,23.0,-61.0,-84.0,-78.5,25.0,-49,-87,0.0
170817,2019-06-20 06:00:00,2019-06-20 06:15:00,2019-06-20 06:30:00,19,9,11,40,0,17.0,8.0,23.0,23.0,-68.0,-87.0,23.0,23.0,-67.0,-84.0,21.0,5.0,23.0,23.0,-57.0,-85.0,23.0,23.0,-56.0,-78.0,72.0,17.0,23.0,23.0,-43.0,-87.0,23.0,23.0,-42.0,-82.0,-66.5,23.0,-43,-85,0.0
109566,2019-05-27 13:15:00,2019-05-27 13:30:00,2019-05-27 13:45:00,19,8,18,56,0,1.0,0.0,18.0,18.0,-39.0,-86.0,18.0,18.0,-38.0,-89.0,0.0,0.0,18.0,18.0,-70.0,-94.0,18.0,18.0,-73.0,-94.0,44.0,0.0,18.0,18.0,-63.0,-94.0,18.0,18.0,-66.0,-94.0,-68.0,19.0,-37,-84,0.0
98364,2018-11-01 06:45:00,2018-11-01 07:00:00,2018-11-01 07:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-97.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-90.0,-97.0,19.0,19.0,-89.0,-98.0,-83.0,19.0,-40,-84,0.0
18951,2018-10-29 13:45:00,2018-10-29 14:00:00,2018-10-29 14:15:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-44.0,-92.0,18.0,18.0,-44.0,-94.0,0.0,0.0,18.0,18.0,-44.0,-83.0,18.0,18.0,-44.0,-88.0,8.0,0.0,18.0,18.0,-44.0,-91.0,18.0,18.0,-44.0,-94.0,-64.5,18.0,-45,-84,0.0
33846,2019-03-24 15:30:00,2019-03-24 15:45:00,2019-03-24 16:00:00,27,1,80,250,1,0.0,0.0,13.0,13.0,-42.0,-47.0,13.0,13.0,-46.0,-57.0,187.0,130.0,18.0,13.0,-36.0,-43.0,18.0,13.0,-54.0,-70.0,61.0,33.0,18.0,13.0,-36.0,-45.0,18.0,13.0,-49.0,-71.0,-71.0,18.0,-21,-73,0.0
167203,2019-06-06 15:30:00,2019-06-06 15:45:00,2019-06-06 16:00:00,19,7,18,56,0,0.0,0.0,19.0,19.0,-46.0,-49.0,19.0,19.0,-45.0,-48.0,0.0,0.0,19.0,19.0,-47.0,-69.0,19.0,19.0,-46.0,-67.0,10.0,2.0,19.0,19.0,-48.0,-86.0,19.0,19.0,-46.0,-84.0,-71.0,19.0,-42,-84,0.0
