idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
563029,2018-11-04 02:00:00,2018-11-04 02:15:00,2018-11-04 02:30:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
247,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-43.0,-45.0,18.0,18.0,-43.0,-45.0,27.0,4.0,22.0,18.0,-43.0,-97.0,22.0,18.0,-43.0,-86.0,6.0,0.0,22.0,18.0,-45.0,-97.0,22.0,18.0,-45.0,-86.0,-85.0,23.0,-42,-86,0.0
563029,2018-11-04 00:00:00,2018-11-04 00:15:00,2018-11-04 00:30:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
563029,2018-11-04 08:00:00,2018-11-04 08:15:00,2018-11-04 08:30:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
563029,2018-11-04 06:30:00,2018-11-04 06:45:00,2018-11-04 07:00:00,19,3,38,56,1,33.0,16.0,16.0,12.0,-56.0,-95.0,16.0,12.0,-56.0,-94.0,0.0,0.0,16.0,16.0,-95.0,-95.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-95.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
18951,2018-10-29 13:30:00,2018-10-29 13:45:00,2018-10-29 14:00:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-44.0,-46.0,18.0,18.0,-45.0,-47.0,0.0,0.0,18.0,18.0,-44.0,-92.0,18.0,18.0,-44.0,-94.0,0.0,0.0,18.0,18.0,-44.0,-83.0,18.0,18.0,-44.0,-88.0,-64.5,18.0,-45,-84,0.0
112299,2019-06-07 10:30:00,2019-06-07 10:45:00,2019-06-07 11:00:00,19,9,11,40,0,23.0,17.0,22.0,22.0,-42.0,-88.0,22.0,22.0,-41.0,-80.0,8.0,7.0,22.0,22.0,-42.0,-80.0,22.0,22.0,-43.0,-72.0,7.0,7.0,22.0,22.0,-38.0,-82.0,22.0,22.0,-37.0,-87.0,-66.5,23.0,-43,-85,0.0
112299,2019-06-07 10:30:00,2019-06-07 10:45:00,2019-06-07 11:00:00,19,9,11,40,0,12.0,11.0,22.0,22.0,-43.0,-81.0,22.0,22.0,-40.0,-84.0,6.0,5.0,22.0,22.0,-44.0,-74.0,22.0,22.0,-42.0,-66.0,6.0,5.0,22.0,22.0,-40.0,-79.0,22.0,22.0,-37.0,-86.0,-66.5,23.0,-43,-85,0.0
292092,2018-07-20 23:00:00,2018-07-20 23:15:00,2018-07-20 23:30:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-46.0,-50.0,18.0,18.0,-48.0,-51.0,0.0,0.0,18.0,18.0,-49.0,-53.0,18.0,18.0,-51.0,-54.0,10.0,0.0,22.0,18.0,-52.0,-97.0,22.0,18.0,-54.0,-94.0,-85.0,23.0,-51,-86,0.0
262,2018-08-09 18:30:00,2018-08-09 18:45:00,2018-08-09 19:00:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
