idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
8386,2019-06-20 04:30:00,2019-06-20 04:45:00,2019-06-20 05:00:00,19,8,11,40,0,14.0,5.0,24.0,24.0,-50.0,-78.0,24.0,24.0,-49.0,-73.0,66.0,14.0,24.0,24.0,-55.0,-75.0,24.0,24.0,-55.0,-79.0,23.0,10.0,24.0,24.0,-51.0,-84.0,24.0,24.0,-51.0,-88.0,-69.5,24.0,-41,-85,0.0
5186,2018-07-14 19:45:00,2018-07-14 20:00:00,2018-07-14 20:15:00,19,2,23,28,1,3.0,0.0,23.0,19.0,-59.0,-91.0,21.0,17.0,-56.0,-85.0,0.0,0.0,23.0,19.0,-60.0,-83.0,21.0,17.0,-56.0,-79.0,87.0,22.0,23.0,23.0,-78.0,-96.0,21.0,21.0,-74.0,-90.0,-85.0,23.0,-42,-86,0.0
98364,2018-04-12 19:00:00,2018-04-12 19:15:00,2018-04-12 19:30:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,-83.0,19.0,-40,-84,0.0
170817,2019-06-20 06:00:00,2019-06-20 06:15:00,2019-06-20 06:30:00,19,9,11,40,0,17.0,8.0,23.0,23.0,-68.0,-87.0,23.0,23.0,-67.0,-84.0,21.0,5.0,23.0,23.0,-57.0,-85.0,23.0,23.0,-56.0,-78.0,72.0,17.0,23.0,23.0,-43.0,-87.0,23.0,23.0,-42.0,-82.0,-66.5,23.0,-43,-85,0.0
98364,2018-04-12 19:15:00,2018-04-12 19:30:00,2018-04-12 19:45:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,-83.0,19.0,-40,-84,0.0
19212,2018-09-21 11:15:00,2018-09-21 11:30:00,2018-09-21 11:45:00,19,5,23,28,1,0.0,0.0,16.0,16.0,-44.0,-46.0,16.0,16.0,-44.0,-46.0,63.0,27.0,18.0,16.0,-44.0,-92.0,18.0,16.0,-44.0,-93.0,12.0,5.0,18.0,16.0,-44.0,-96.0,18.0,16.0,-44.0,-94.0,-78.0,21.0,-42,-86,0.0
98364,2018-11-01 07:00:00,2018-11-01 07:15:00,2018-11-01 07:30:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-97.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-90.0,-97.0,19.0,19.0,-89.0,-98.0,229.0,9.0,19.0,19.0,-84.0,-90.0,19.0,19.0,-85.0,-90.0,-83.0,19.0,-40,-84,0.0
98364,2018-04-12 18:30:00,2018-04-12 18:45:00,2018-04-12 19:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,-83.0,19.0,-40,-84,0.0
98364,2018-11-01 06:30:00,2018-11-01 06:45:00,2018-11-01 07:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-97.0,-98.0,19.0,19.0,-98.0,-98.0,-83.0,19.0,-40,-84,0.0
98364,2018-04-12 18:15:00,2018-04-12 18:30:00,2018-04-12 18:45:00,19,2,38,28,1,14.0,0.0,19.0,16.0,-71.0,-98.0,19.0,16.0,-70.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,0.0,0.0,19.0,19.0,-98.0,-98.0,19.0,19.0,-98.0,-98.0,-83.0,19.0,-40,-84,0.0
