idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
334,2018-10-29 11:45:00,2018-10-29 12:00:00,2018-10-29 12:15:00,19,2,23,28,1,0.0,0.0,18.0,18.0,-48.0,-51.0,18.0,18.0,-47.0,-50.0,0.0,0.0,18.0,18.0,-47.0,-52.0,18.0,18.0,-47.0,-52.0,27.0,0.0,22.0,18.0,-52.0,-95.0,22.0,18.0,-52.0,-97.0,-85.0,23.0,-41,-86,0.0
334,2018-10-29 16:45:00,2018-10-29 17:00:00,2018-10-29 17:15:00,19,2,23,28,1,0.0,0.0,18.0,18.0,-49.0,-59.0,18.0,18.0,-48.0,-58.0,0.0,0.0,22.0,18.0,-49.0,-86.0,22.0,18.0,-49.0,-88.0,59.0,0.0,22.0,18.0,-67.0,-97.0,22.0,18.0,-68.0,-97.0,-85.0,23.0,-41,-86,0.0
334,2018-05-31 15:00:00,2018-05-31 15:15:00,2018-05-31 15:30:00,19,2,23,28,1,0.0,0.0,18.0,18.0,-45.0,-55.0,18.0,18.0,-44.0,-55.0,1.0,0.0,22.0,18.0,-54.0,-97.0,22.0,18.0,-54.0,-97.0,21.0,0.0,22.0,18.0,-50.0,-97.0,22.0,18.0,-50.0,-97.0,-85.0,23.0,-41,-86,0.0
3924,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,19,2,18,56,1,0.0,0.0,15.0,15.0,-47.0,-49.0,15.0,15.0,-46.0,-48.0,0.0,0.0,19.0,15.0,-48.0,-75.0,19.0,15.0,-47.0,-76.0,81.0,0.0,19.0,15.0,-57.0,-93.0,19.0,15.0,-57.0,-94.0,-82.5,23.0,-46,-84,0.0
3924,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,19,2,18,56,1,0.0,0.0,15.0,15.0,-49.0,-50.0,15.0,15.0,-49.0,-50.0,0.0,0.0,19.0,15.0,-50.0,-72.0,19.0,15.0,-49.0,-72.0,38.0,3.0,19.0,15.0,-57.0,-88.0,19.0,15.0,-57.0,-91.0,-82.5,23.0,-46,-84,0.0
29458,2018-10-29 09:00:00,2018-10-29 09:15:00,2018-10-29 09:30:00,19,5,38,28,1,0.0,0.0,14.0,14.0,-35.0,-36.0,14.0,14.0,-36.0,-37.0,0.0,0.0,14.0,14.0,-36.0,-61.0,14.0,14.0,-37.0,-61.0,24.0,1.0,16.0,14.0,-50.0,-96.0,16.0,14.0,-49.0,-94.0,-76.0,17.0,-39,-84,0.0
29458,2018-10-29 14:45:00,2018-10-29 15:00:00,2018-10-29 15:15:00,19,5,38,28,1,0.0,0.0,14.0,14.0,-35.0,-40.0,14.0,14.0,-36.0,-41.0,4.0,0.0,16.0,14.0,-36.0,-97.0,16.0,14.0,-37.0,-97.0,1.0,0.0,16.0,14.0,-39.0,-97.0,16.0,14.0,-39.0,-97.0,-76.0,17.0,-39,-84,0.0
29458,2018-10-29 14:30:00,2018-10-29 14:45:00,2018-10-29 15:00:00,19,5,38,28,1,0.0,0.0,14.0,14.0,-35.0,-35.0,14.0,14.0,-36.0,-36.0,0.0,0.0,14.0,14.0,-35.0,-40.0,14.0,14.0,-36.0,-41.0,4.0,0.0,16.0,14.0,-36.0,-97.0,16.0,14.0,-37.0,-97.0,-76.0,17.0,-39,-84,0.0
82589,2018-10-29 16:00:00,2018-10-29 16:15:00,2018-10-29 16:30:00,19,2,38,28,1,0.0,0.0,12.0,12.0,-53.0,-56.0,12.0,12.0,-51.0,-54.0,0.0,0.0,12.0,12.0,-52.0,-54.0,12.0,12.0,-49.0,-52.0,32.0,5.0,16.0,12.0,-52.0,-94.0,16.0,12.0,-49.0,-95.0,-83.0,19.0,-47,-84,0.0
170782,2019-06-12 04:15:00,2019-06-12 04:30:00,2019-06-12 04:45:00,19,2,18,28,1,0.0,0.0,22.0,18.0,-56.0,-79.0,22.0,18.0,-55.0,-81.0,0.0,0.0,20.0,18.0,-61.0,-75.0,22.0,18.0,-60.0,-76.0,6.0,0.0,22.0,18.0,-64.0,-87.0,22.0,18.0,-65.0,-97.0,-85.0,23.0,-54,-86,0.0
390030,2018-09-01 19:30:00,2018-09-01 19:45:00,2018-09-01 20:00:00,19,7,23,28,1,0.0,0.0,17.0,17.0,-37.0,-39.0,17.0,17.0,-36.0,-37.0,2.0,0.0,19.0,17.0,-38.0,-78.0,19.0,17.0,-37.0,-75.0,40.0,11.0,19.0,17.0,-59.0,-93.0,19.0,17.0,-57.0,-87.0,-72.5,19.0,-37,-86,0.0
579119,2019-06-22 09:45:00,2019-06-22 10:00:00,2019-06-22 10:15:00,19,2,38,56,1,0.0,0.0,14.0,14.0,-39.0,-50.0,18.0,18.0,-38.0,-49.0,0.0,0.0,15.0,14.0,-42.0,-60.0,18.0,18.0,-41.0,-59.0,45.0,0.0,18.0,,-41.0,-93.0,18.0,14.0,-40.0,-90.0,-80.5,19.0,-44,-82,0.0
630256,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,11,40,1,0.0,0.0,25.0,25.0,-52.0,-57.0,25.0,25.0,-53.0,-58.0,10.0,0.0,29.0,25.0,-56.0,-83.0,30.0,25.0,-58.0,-88.0,5.0,0.0,29.0,25.0,-50.0,-94.0,30.0,25.0,-51.0,-93.0,-83.5,28.0,-50,-85,0.0
630256,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,29,2,11,40,1,0.0,0.0,25.0,25.0,-52.0,-54.0,25.0,25.0,-53.0,-56.0,0.0,0.0,25.0,25.0,-52.0,-57.0,25.0,25.0,-53.0,-58.0,10.0,0.0,29.0,25.0,-56.0,-83.0,30.0,25.0,-58.0,-88.0,-83.5,28.0,-50,-85,0.0
630256,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,11,40,1,0.0,0.0,25.0,25.0,-54.0,-60.0,25.0,25.0,-53.0,-59.0,6.0,0.0,29.0,25.0,-59.0,-86.0,29.0,25.0,-58.0,-88.0,5.0,0.0,29.0,25.0,-52.0,-94.0,29.0,25.0,-51.0,-94.0,-83.5,28.0,-50,-85,0.0
