,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
3,1882,2018-10-29 16:15:00,2018-10-29 16:30:00,2018-10-29 16:45:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-52.0,18.0,18.0,-47.0,-53.0,60.0,4.0,22.0,18.0,-52.0,-91.0,22.0,18.0,-53.0,-89.0,27.0,0.0,22.0,22.0,-80.0,-95.0,22.0,22.0,-78.0,-94.0,-82.5,23.0,-52,-84,0.0
5,1882,2018-10-29 19:00:00,2018-10-29 19:15:00,2018-10-29 19:30:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-46.0,18.0,18.0,-47.0,-47.0,21.0,1.0,22.0,18.0,-45.0,-93.0,22.0,18.0,-47.0,-90.0,4.0,0.0,22.0,18.0,-47.0,-95.0,22.0,18.0,-48.0,-94.0,-82.5,23.0,-52,-84,0.0
2,1882,2018-10-29 16:00:00,2018-10-29 16:15:00,2018-10-29 16:30:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-47.0,18.0,18.0,-47.0,-49.0,0.0,0.0,18.0,18.0,-45.0,-52.0,18.0,18.0,-47.0,-53.0,60.0,4.0,22.0,18.0,-52.0,-91.0,22.0,18.0,-53.0,-89.0,-82.5,23.0,-52,-84,0.0
4,1882,2018-10-29 18:45:00,2018-10-29 19:00:00,2018-10-29 19:15:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-46.0,18.0,18.0,-47.0,-47.0,0.0,0.0,18.0,18.0,-45.0,-46.0,18.0,18.0,-47.0,-47.0,21.0,1.0,22.0,18.0,-45.0,-93.0,22.0,18.0,-47.0,-90.0,-82.5,23.0,-52,-84,0.0
1218,1963,2018-10-29 16:00:00,2018-10-29 16:15:00,2018-10-29 16:30:00,19,2,38,56,1,0.0,0.0,15.0,15.0,-41.0,-42.0,15.0,15.0,-39.0,-40.0,0.0,0.0,15.0,15.0,-41.0,-45.0,15.0,15.0,-39.0,-43.0,5.0,0.0,19.0,15.0,-43.0,-95.0,19.0,15.0,-42.0,-95.0,-80.5,19.0,-36,-82,0.0
226,2356,2018-12-12 15:45:00,2018-12-12 16:00:00,2018-12-12 16:15:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,44.0,14.0,7.0,3.0,-51.0,-97.0,7.0,3.0,-52.0,-98.0,30.0,12.0,7.0,3.0,-50.0,-89.0,7.0,3.0,-51.0,-94.0,-83.0,19.0,-45,-84,0.0
6,2356,2018-10-29 16:00:00,2018-10-29 16:15:00,2018-10-29 16:30:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-52.0,-57.0,3.0,3.0,-52.0,-57.0,0.0,0.0,7.0,3.0,-56.0,-78.0,7.0,3.0,-57.0,-78.0,15.0,0.0,7.0,3.0,-63.0,-97.0,7.0,3.0,-63.0,-97.0,-83.0,19.0,-45,-84,0.0
222,2356,2018-07-05 02:00:00,2018-07-05 02:15:00,2018-07-05 02:30:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-54.0,-61.0,3.0,3.0,-54.0,-61.0,0.0,0.0,3.0,3.0,-53.0,-58.0,3.0,3.0,-54.0,-58.0,105.0,0.0,7.0,3.0,-54.0,-90.0,7.0,3.0,-55.0,-89.0,-83.0,19.0,-45,-84,1.0
223,2356,2018-07-05 02:15:00,2018-07-05 02:30:00,2018-07-05 02:45:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-53.0,-58.0,3.0,3.0,-54.0,-58.0,105.0,0.0,7.0,3.0,-54.0,-90.0,7.0,3.0,-55.0,-89.0,7.0,0.0,7.0,3.0,-54.0,-88.0,7.0,3.0,-54.0,-87.0,-83.0,19.0,-45,-84,1.0
224,2356,2018-08-25 05:45:00,2018-08-25 06:00:00,2018-08-25 06:15:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,0.0,0.0,3.0,3.0,-51.0,-52.0,3.0,3.0,-52.0,-53.0,6.0,0.0,7.0,3.0,-52.0,-97.0,7.0,3.0,-53.0,-98.0,-83.0,19.0,-45,-84,0.0
