idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
76918,2019-05-27 15:45:00,2019-05-27 16:00:00,2019-05-27 16:15:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-49.0,-51.0,18.0,18.0,-49.0,-50.0,0.0,0.0,18.0,18.0,-50.0,-57.0,18.0,18.0,-49.0,-57.0,28.0,0.0,18.0,18.0,-50.0,-94.0,18.0,18.0,-49.0,-94.0,-64.5,18.0,-40,-84,0.0
527644,2019-06-06 17:00:00,2019-06-06 17:15:00,2019-06-06 17:30:00,19,9,13,28,0,0.0,0.0,23.0,23.0,-40.0,-42.0,23.0,23.0,-38.0,-40.0,39.0,8.0,23.0,23.0,-41.0,-74.0,23.0,23.0,-39.0,-71.0,9.0,5.0,23.0,23.0,-41.0,-96.0,23.0,23.0,-42.0,-96.0,-68.0,23.0,-43,-87,0.0
570832,2019-06-12 08:30:00,2019-06-12 08:45:00,2019-06-12 09:00:00,19,7,11,40,0,1.0,0.0,23.0,23.0,-55.0,-73.0,23.0,23.0,-52.0,-71.0,1.0,0.0,23.0,23.0,-56.0,-91.0,23.0,23.0,-54.0,-75.0,16.0,13.0,23.0,23.0,-54.0,-81.0,23.0,23.0,-52.0,-90.0,-72.0,24.0,-55,-85,0.0
262,2018-08-09 18:15:00,2018-08-09 18:30:00,2018-08-09 18:45:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
662836,2019-06-07 14:30:00,2019-06-07 14:45:00,2019-06-07 15:00:00,19,8,18,56,0,24.0,11.0,17.0,17.0,-51.0,-73.0,17.0,17.0,-53.0,-77.0,3.0,0.0,17.0,17.0,-53.0,-64.0,17.0,17.0,-56.0,-68.0,9.0,8.0,17.0,17.0,-54.0,-80.0,17.0,17.0,-57.0,-86.0,-68.0,19.0,-36,-84,1.0
127346,2018-06-22 16:15:00,2018-06-22 16:30:00,2018-06-22 16:45:00,19,2,18,28,1,0.0,0.0,18.0,14.0,-58.0,-81.0,18.0,14.0,-58.0,-78.0,81.0,0.0,18.0,18.0,-81.0,-97.0,18.0,18.0,-78.0,-97.0,11.0,0.0,18.0,14.0,-65.0,-97.0,18.0,14.0,-64.0,-97.0,-85.0,23.0,-45,-86,1.0
657028,2019-05-25 15:45:00,2019-05-25 16:00:00,2019-05-25 16:15:00,29,7,11,40,1,0.0,0.0,25.0,25.0,-46.0,-48.0,25.0,25.0,-45.0,-47.0,0.0,0.0,25.0,25.0,-46.0,-71.0,25.0,25.0,-46.0,-70.0,122.0,44.0,25.0,25.0,-64.0,-83.0,25.0,25.0,-63.0,-81.0,-72.0,24.0,-47,-85,3.0
6183,2019-06-05 11:00:00,2019-06-05 11:15:00,2019-06-05 11:30:00,19,6,18,28,1,0.0,0.0,18.0,18.0,-37.0,-38.0,18.0,18.0,-39.0,-40.0,0.0,0.0,18.0,18.0,-37.0,-38.0,18.0,18.0,-39.0,-40.0,1.0,0.0,20.0,,-37.0,-75.0,20.0,,-36.0,-70.0,-74.5,21.0,-39,-86,3.0
21516,2018-10-30 05:00:00,2018-10-30 05:15:00,2018-10-30 05:30:00,19,8,18,56,0,0.0,0.0,15.0,15.0,-37.0,-39.0,15.0,15.0,-37.0,-39.0,0.0,0.0,15.0,15.0,-37.0,-39.0,15.0,15.0,-37.0,-39.0,1.0,0.0,15.0,15.0,-38.0,-82.0,15.0,15.0,-37.0,-84.0,-68.0,19.0,-44,-84,3.0
78061,2018-11-01 10:45:00,2018-11-01 11:00:00,2018-11-01 11:15:00,19,3,42,56,1,0.0,0.0,6.0,2.0,-59.0,-65.0,6.0,6.0,-48.0,-55.0,5.0,0.0,6.0,2.0,-56.0,-73.0,6.0,6.0,-47.0,-61.0,16.0,0.0,6.0,2.0,-56.0,-60.0,6.0,6.0,-46.0,-53.0,-74.0,17.0,-38,-81,4.0
