idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1882,2018-10-29 16:00:00,2018-10-29 16:15:00,2018-10-29 16:30:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-47.0,18.0,18.0,-47.0,-49.0,0.0,0.0,18.0,18.0,-45.0,-52.0,18.0,18.0,-47.0,-53.0,60.0,4.0,22.0,18.0,-52.0,-91.0,22.0,18.0,-53.0,-89.0,-82.5,23.0,-52,-84,0.0
1882,2018-10-29 18:45:00,2018-10-29 19:00:00,2018-10-29 19:15:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-46.0,18.0,18.0,-47.0,-47.0,0.0,0.0,18.0,18.0,-45.0,-46.0,18.0,18.0,-47.0,-47.0,21.0,1.0,22.0,18.0,-45.0,-93.0,22.0,18.0,-47.0,-90.0,-82.5,23.0,-52,-84,0.0
1882,2018-10-29 19:00:00,2018-10-29 19:15:00,2018-10-29 19:30:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-46.0,18.0,18.0,-47.0,-47.0,21.0,1.0,22.0,18.0,-45.0,-93.0,22.0,18.0,-47.0,-90.0,4.0,0.0,22.0,18.0,-47.0,-95.0,22.0,18.0,-48.0,-94.0,-82.5,23.0,-52,-84,0.0
1882,2018-10-29 16:15:00,2018-10-29 16:30:00,2018-10-29 16:45:00,19,2,18,56,1,0.0,0.0,18.0,18.0,-45.0,-52.0,18.0,18.0,-47.0,-53.0,60.0,4.0,22.0,18.0,-52.0,-91.0,22.0,18.0,-53.0,-89.0,27.0,0.0,22.0,22.0,-80.0,-95.0,22.0,22.0,-78.0,-94.0,-82.5,23.0,-52,-84,0.0
3952,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-43.0,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-44.0,4.0,0.0,17.0,17.0,-44.0,-93.0,17.0,17.0,-43.0,-93.0,-81.5,23.0,-41,-83,0.0
3952,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-44.0,4.0,0.0,17.0,17.0,-44.0,-93.0,17.0,17.0,-43.0,-93.0,6.0,0.0,17.0,17.0,-43.0,-93.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
3952,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-43.0,-44.0,17.0,17.0,-42.0,-42.0,0.0,0.0,17.0,17.0,-43.0,-44.0,17.0,17.0,-42.0,-43.0,49.0,27.0,17.0,17.0,-43.0,-94.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
5636,2019-06-06 15:45:00,2019-06-06 16:00:00,2019-06-06 16:15:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-38.0,-56.0,18.0,18.0,-36.0,-56.0,9.0,0.0,18.0,18.0,-50.0,-65.0,18.0,18.0,-50.0,-65.0,19.0,0.0,18.0,18.0,-45.0,-81.0,18.0,18.0,-44.0,-83.0,-64.5,18.0,-37,-84,0.0
7657,2019-06-20 17:45:00,2019-06-20 18:00:00,2019-06-20 18:15:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-46.0,-59.0,23.0,23.0,-46.0,-57.0,7.0,2.0,23.0,23.0,-48.0,-95.0,23.0,23.0,-48.0,-92.0,18.0,4.0,23.0,23.0,-54.0,-96.0,23.0,23.0,-53.0,-96.0,-66.5,23.0,-45,-85,0.0
7657,2019-06-20 17:45:00,2019-06-20 18:00:00,2019-06-20 18:15:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-45.0,-58.0,23.0,23.0,-44.0,-55.0,5.0,0.0,23.0,23.0,-47.0,-95.0,23.0,23.0,-45.0,-91.0,32.0,9.0,23.0,23.0,-53.0,-96.0,23.0,23.0,-50.0,-95.0,-66.5,23.0,-45,-85,0.0
8382,2019-06-20 03:15:00,2019-06-20 03:30:00,2019-06-20 03:45:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-39.0,-44.0,23.0,23.0,-40.0,-45.0,0.0,0.0,23.0,23.0,-42.0,-51.0,23.0,23.0,-43.0,-52.0,62.0,41.0,23.0,23.0,-48.0,-88.0,23.0,23.0,-49.0,-83.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 04:00:00,2019-06-20 04:15:00,2019-06-20 04:30:00,19,9,11,40,0,171.0,99.0,23.0,23.0,-59.0,-94.0,23.0,23.0,-64.0,-94.0,0.0,0.0,23.0,23.0,-71.0,-95.0,23.0,23.0,-74.0,-96.0,15.0,8.0,23.0,23.0,-63.0,-94.0,23.0,23.0,-63.0,-96.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 04:15:00,2019-06-20 04:30:00,2019-06-20 04:45:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-71.0,-95.0,23.0,23.0,-74.0,-96.0,15.0,8.0,23.0,23.0,-63.0,-94.0,23.0,23.0,-63.0,-96.0,25.0,19.0,23.0,23.0,-54.0,-86.0,23.0,23.0,-57.0,-91.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 04:00:00,2019-06-20 04:15:00,2019-06-20 04:30:00,19,9,11,40,0,192.0,113.0,23.0,23.0,-59.0,-93.0,23.0,23.0,-61.0,-95.0,0.0,0.0,23.0,23.0,-70.0,-95.0,23.0,23.0,-71.0,-95.0,60.0,33.0,23.0,23.0,-60.0,-93.0,23.0,23.0,-62.0,-95.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 04:15:00,2019-06-20 04:30:00,2019-06-20 04:45:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-70.0,-95.0,23.0,23.0,-71.0,-95.0,60.0,33.0,23.0,23.0,-60.0,-93.0,23.0,23.0,-62.0,-95.0,47.0,33.0,23.0,23.0,-53.0,-84.0,23.0,23.0,-53.0,-87.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 03:30:00,2019-06-20 03:45:00,2019-06-20 04:00:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-43.0,-51.0,23.0,23.0,-46.0,-54.0,77.0,48.0,23.0,23.0,-48.0,-78.0,23.0,23.0,-52.0,-86.0,171.0,99.0,23.0,23.0,-59.0,-94.0,23.0,23.0,-64.0,-94.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 03:45:00,2019-06-20 04:00:00,2019-06-20 04:15:00,19,9,11,40,0,77.0,48.0,23.0,23.0,-48.0,-78.0,23.0,23.0,-52.0,-86.0,171.0,99.0,23.0,23.0,-59.0,-94.0,23.0,23.0,-64.0,-94.0,0.0,0.0,23.0,23.0,-71.0,-95.0,23.0,23.0,-74.0,-96.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 03:15:00,2019-06-20 03:30:00,2019-06-20 03:45:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-40.0,-45.0,23.0,23.0,-43.0,-48.0,0.0,0.0,23.0,23.0,-43.0,-51.0,23.0,23.0,-46.0,-54.0,77.0,48.0,23.0,23.0,-48.0,-78.0,23.0,23.0,-52.0,-86.0,-66.5,23.0,-40,-85,0.0
8382,2019-06-20 03:45:00,2019-06-20 04:00:00,2019-06-20 04:15:00,19,9,11,40,0,62.0,41.0,23.0,23.0,-48.0,-88.0,23.0,23.0,-49.0,-83.0,192.0,113.0,23.0,23.0,-59.0,-93.0,23.0,23.0,-61.0,-95.0,0.0,0.0,23.0,23.0,-70.0,-95.0,23.0,23.0,-71.0,-95.0,-66.5,23.0,-40,-85,0.0
15641,2019-06-07 22:15:00,2019-06-07 22:30:00,2019-06-07 22:45:00,19,9,11,40,0,21.0,20.0,22.0,22.0,-38.0,-84.0,22.0,22.0,-35.0,-76.0,3.0,3.0,22.0,22.0,-35.0,-71.0,22.0,22.0,-32.0,-73.0,15.0,14.0,22.0,22.0,-39.0,-87.0,22.0,22.0,-35.0,-78.0,-66.5,23.0,-36,-85,0.0
15641,2019-06-07 23:00:00,2019-06-07 23:15:00,2019-06-07 23:30:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-35.0,-56.0,22.0,22.0,-33.0,-48.0,6.0,5.0,22.0,22.0,-32.0,-72.0,22.0,22.0,-30.0,-60.0,17.0,15.0,22.0,22.0,-40.0,-82.0,22.0,22.0,-38.0,-67.0,-66.5,23.0,-36,-85,0.0
18951,2018-10-29 13:30:00,2018-10-29 13:45:00,2018-10-29 14:00:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-44.0,-46.0,18.0,18.0,-45.0,-47.0,0.0,0.0,18.0,18.0,-44.0,-92.0,18.0,18.0,-44.0,-94.0,0.0,0.0,18.0,18.0,-44.0,-83.0,18.0,18.0,-44.0,-88.0,-64.5,18.0,-45,-84,0.0
18951,2018-10-29 13:15:00,2018-10-29 13:30:00,2018-10-29 13:45:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-44.0,-47.0,18.0,18.0,-45.0,-47.0,0.0,0.0,18.0,18.0,-44.0,-46.0,18.0,18.0,-45.0,-47.0,0.0,0.0,18.0,18.0,-44.0,-92.0,18.0,18.0,-44.0,-94.0,-64.5,18.0,-45,-84,0.0
21270,2018-09-07 03:15:00,2018-09-07 03:30:00,2018-09-07 03:45:00,27,2,80,250,1,5.0,0.0,18.0,15.0,-67.0,-86.0,18.0,15.0,-64.0,-85.0,18.0,0.0,18.0,-2.0,-71.0,-86.0,18.0,-2.0,-67.0,-86.0,0.0,0.0,18.0,-2.0,-83.0,-86.0,18.0,-2.0,-82.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 02:30:00,2018-09-07 02:45:00,2018-09-07 03:00:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-57.0,13.0,13.0,-43.0,-55.0,5.0,0.0,18.0,-2.0,-57.0,-86.0,18.0,-2.0,-55.0,-86.0,5.0,0.0,18.0,-2.0,-66.0,-86.0,18.0,-2.0,-64.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2019-01-17 12:00:00,2019-01-17 12:15:00,2019-01-17 12:30:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-43.0,-44.0,13.0,13.0,-42.0,-43.0,5.0,0.0,18.0,13.0,-44.0,-85.0,18.0,13.0,-43.0,-85.0,3.0,0.0,18.0,13.0,-51.0,-86.0,18.0,13.0,-51.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-13 21:30:00,2018-09-13 21:45:00,2018-09-13 22:00:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-44.0,13.0,13.0,-43.0,-43.0,0.0,0.0,13.0,13.0,-44.0,-44.0,13.0,13.0,-43.0,-43.0,16.0,3.0,18.0,13.0,-44.0,-86.0,18.0,13.0,-43.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-13 22:00:00,2018-09-13 22:15:00,2018-09-13 22:30:00,27,2,80,250,1,16.0,3.0,18.0,13.0,-44.0,-86.0,18.0,13.0,-43.0,-85.0,34.0,11.0,18.0,-2.0,-78.0,-86.0,18.0,-2.0,-75.0,-86.0,35.0,1.0,18.0,1.0,-76.0,-86.0,18.0,2.0,-71.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 01:00:00,2018-09-07 01:15:00,2018-09-07 01:30:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-45.0,13.0,13.0,-43.0,-43.0,0.0,0.0,13.0,13.0,-44.0,-45.0,13.0,13.0,-43.0,-43.0,9.0,1.0,18.0,-2.0,-44.0,-86.0,18.0,-2.0,-43.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 01:15:00,2018-09-07 01:30:00,2018-09-07 01:45:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-45.0,13.0,13.0,-43.0,-43.0,9.0,1.0,18.0,-2.0,-44.0,-86.0,18.0,-2.0,-43.0,-85.0,28.0,0.0,18.0,-2.0,-79.0,-86.0,18.0,-2.0,-77.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-12-16 22:30:00,2018-12-16 22:45:00,2018-12-16 23:00:00,27,2,80,250,1,21.0,0.0,18.0,13.0,-62.0,-84.0,18.0,13.0,-62.0,-85.0,94.0,15.0,18.0,15.0,-67.0,-80.0,18.0,15.0,-69.0,-83.0,7.0,0.0,18.0,13.0,-52.0,-85.0,18.0,13.0,-52.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 03:00:00,2018-09-07 03:15:00,2018-09-07 03:30:00,27,2,80,250,1,5.0,0.0,18.0,-2.0,-66.0,-86.0,18.0,-2.0,-64.0,-86.0,5.0,0.0,18.0,15.0,-67.0,-86.0,18.0,15.0,-64.0,-85.0,18.0,0.0,18.0,-2.0,-71.0,-86.0,18.0,-2.0,-67.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 11:30:00,2018-11-20 11:45:00,2018-11-20 12:00:00,27,2,80,250,1,18.0,6.0,18.0,-2.0,-52.0,-86.0,18.0,-2.0,-50.0,-86.0,4.0,0.0,18.0,13.0,-50.0,-86.0,18.0,13.0,-49.0,-86.0,22.0,0.0,18.0,5.0,-59.0,-86.0,18.0,-2.0,-58.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 04:00:00,2018-09-07 04:15:00,2018-09-07 04:30:00,27,2,80,250,1,4.0,0.0,18.0,-2.0,-53.0,-86.0,18.0,-2.0,-52.0,-86.0,0.0,0.0,18.0,13.0,-54.0,-80.0,18.0,13.0,-53.0,-76.0,20.0,0.0,18.0,13.0,-56.0,-83.0,18.0,13.0,-56.0,-82.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-19 23:30:00,2018-11-19 23:45:00,2018-11-20 00:00:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-43.0,-45.0,13.0,13.0,-42.0,-44.0,0.0,0.0,13.0,13.0,-44.0,-53.0,13.0,13.0,-43.0,-52.0,15.0,0.0,18.0,13.0,-53.0,-86.0,18.0,13.0,-52.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-12-16 22:00:00,2018-12-16 22:15:00,2018-12-16 22:30:00,27,2,80,250,1,0.0,0.0,15.0,13.0,-60.0,-68.0,15.0,13.0,-61.0,-69.0,0.0,0.0,18.0,13.0,-58.0,-77.0,18.0,13.0,-60.0,-73.0,21.0,0.0,18.0,13.0,-62.0,-84.0,18.0,13.0,-62.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 12:15:00,2018-11-20 12:30:00,2018-11-20 12:45:00,27,2,80,250,1,1.0,0.0,18.0,-2.0,-59.0,-87.0,18.0,-2.0,-58.0,-86.0,15.0,0.0,18.0,-2.0,-74.0,-86.0,18.0,-2.0,-70.0,-86.0,6.0,0.0,18.0,-2.0,-62.0,-87.0,18.0,4.0,-62.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-10-05 17:30:00,2018-10-05 17:45:00,2018-10-05 18:00:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-42.0,-44.0,13.0,13.0,-41.0,-43.0,0.0,0.0,15.0,13.0,-42.0,-66.0,15.0,13.0,-41.0,-65.0,27.0,0.0,18.0,13.0,-45.0,-86.0,18.0,13.0,-44.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-13 21:45:00,2018-09-13 22:00:00,2018-09-13 22:15:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-44.0,13.0,13.0,-43.0,-43.0,16.0,3.0,18.0,13.0,-44.0,-86.0,18.0,13.0,-43.0,-85.0,34.0,11.0,18.0,-2.0,-78.0,-86.0,18.0,-2.0,-75.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 08:15:00,2018-11-20 08:30:00,2018-11-20 08:45:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-43.0,-45.0,13.0,13.0,-42.0,-43.0,0.0,0.0,15.0,13.0,-43.0,-72.0,15.0,13.0,-42.0,-69.0,31.0,0.0,18.0,13.0,-45.0,-85.0,18.0,13.0,-44.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 12:00:00,2018-11-20 12:15:00,2018-11-20 12:30:00,27,2,80,250,1,22.0,0.0,18.0,5.0,-59.0,-86.0,18.0,-2.0,-58.0,-86.0,1.0,0.0,18.0,-2.0,-59.0,-87.0,18.0,-2.0,-58.0,-86.0,15.0,0.0,18.0,-2.0,-74.0,-86.0,18.0,-2.0,-70.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 12:45:00,2018-11-20 13:00:00,2018-11-20 13:15:00,27,2,80,250,1,6.0,0.0,18.0,-2.0,-62.0,-87.0,18.0,4.0,-62.0,-86.0,0.0,0.0,18.0,13.0,-62.0,-77.0,18.0,13.0,-60.0,-74.0,16.0,0.0,18.0,13.0,-55.0,-82.0,18.0,13.0,-55.0,-79.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 11:15:00,2018-11-20 11:30:00,2018-11-20 11:45:00,27,2,80,250,1,0.0,0.0,15.0,13.0,-45.0,-66.0,15.0,13.0,-44.0,-65.0,18.0,6.0,18.0,-2.0,-52.0,-86.0,18.0,-2.0,-50.0,-86.0,4.0,0.0,18.0,13.0,-50.0,-86.0,18.0,13.0,-49.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2019-01-17 11:45:00,2019-01-17 12:00:00,2019-01-17 12:15:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-43.0,-44.0,13.0,13.0,-42.0,-43.0,0.0,0.0,13.0,13.0,-43.0,-44.0,13.0,13.0,-42.0,-43.0,5.0,0.0,18.0,13.0,-44.0,-85.0,18.0,13.0,-43.0,-85.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 02:15:00,2018-09-07 02:30:00,2018-09-07 02:45:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-45.0,13.0,13.0,-43.0,-44.0,0.0,0.0,13.0,13.0,-44.0,-57.0,13.0,13.0,-43.0,-55.0,5.0,0.0,18.0,-2.0,-57.0,-86.0,18.0,-2.0,-55.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 11:45:00,2018-11-20 12:00:00,2018-11-20 12:15:00,27,2,80,250,1,4.0,0.0,18.0,13.0,-50.0,-86.0,18.0,13.0,-49.0,-86.0,22.0,0.0,18.0,5.0,-59.0,-86.0,18.0,-2.0,-58.0,-86.0,1.0,0.0,18.0,-2.0,-59.0,-87.0,18.0,-2.0,-58.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-09-07 03:30:00,2018-09-07 03:45:00,2018-09-07 04:00:00,27,2,80,250,1,18.0,0.0,18.0,-2.0,-71.0,-86.0,18.0,-2.0,-67.0,-86.0,0.0,0.0,18.0,-2.0,-83.0,-86.0,18.0,-2.0,-82.0,-86.0,4.0,0.0,18.0,-2.0,-53.0,-86.0,18.0,-2.0,-52.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-11-20 11:00:00,2018-11-20 11:15:00,2018-11-20 11:30:00,27,2,80,250,1,0.0,0.0,15.0,13.0,-47.0,-67.0,15.0,13.0,-46.0,-66.0,0.0,0.0,15.0,13.0,-45.0,-66.0,15.0,13.0,-44.0,-65.0,18.0,6.0,18.0,-2.0,-52.0,-86.0,18.0,-2.0,-50.0,-86.0,-68.0,18.0,-43,-73,0.0
21270,2018-12-16 23:00:00,2018-12-16 23:15:00,2018-12-16 23:30:00,27,2,80,250,1,7.0,0.0,18.0,13.0,-52.0,-85.0,18.0,13.0,-52.0,-86.0,0.0,0.0,13.0,13.0,-51.0,-64.0,13.0,13.0,-51.0,-64.0,19.0,10.0,18.0,13.0,-47.0,-84.0,18.0,13.0,-46.0,-85.0,-68.0,18.0,-43,-73,0.0
112299,2019-06-06 14:15:00,2019-06-06 14:30:00,2019-06-06 14:45:00,19,9,11,40,0,8.0,6.0,22.0,22.0,-41.0,-72.0,22.0,22.0,-40.0,-75.0,2.0,1.0,22.0,22.0,-44.0,-67.0,22.0,22.0,-43.0,-67.0,16.0,8.0,22.0,22.0,-42.0,-83.0,22.0,22.0,-42.0,-83.0,-66.5,23.0,-43,-85,0.0
112299,2019-06-05 22:15:00,2019-06-05 22:30:00,2019-06-05 22:45:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-42.0,-52.0,22.0,22.0,-42.0,-52.0,0.0,0.0,22.0,22.0,-41.0,-61.0,22.0,22.0,-41.0,-61.0,1.0,0.0,22.0,22.0,-41.0,-65.0,22.0,22.0,-40.0,-83.0,-66.5,23.0,-43,-85,0.0
112299,2019-06-05 23:15:00,2019-06-05 23:30:00,2019-06-05 23:45:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-46.0,-53.0,22.0,22.0,-43.0,-51.0,0.0,0.0,22.0,22.0,-47.0,-52.0,22.0,22.0,-45.0,-49.0,7.0,7.0,22.0,22.0,-44.0,-82.0,22.0,22.0,-41.0,-88.0,-66.5,23.0,-43,-85,0.0
112299,2019-06-07 10:30:00,2019-06-07 10:45:00,2019-06-07 11:00:00,19,9,11,40,0,23.0,17.0,22.0,22.0,-42.0,-88.0,22.0,22.0,-41.0,-80.0,8.0,7.0,22.0,22.0,-42.0,-80.0,22.0,22.0,-43.0,-72.0,7.0,7.0,22.0,22.0,-38.0,-82.0,22.0,22.0,-37.0,-87.0,-66.5,23.0,-43,-85,0.0
112299,2019-06-05 23:15:00,2019-06-05 23:30:00,2019-06-05 23:45:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-44.0,-52.0,22.0,22.0,-43.0,-51.0,0.0,0.0,22.0,22.0,-46.0,-51.0,22.0,22.0,-45.0,-50.0,7.0,7.0,22.0,22.0,-42.0,-78.0,22.0,22.0,-42.0,-90.0,-66.5,23.0,-43,-85,0.0
206728,2019-06-22 05:30:00,2019-06-22 05:45:00,2019-06-22 06:00:00,19,2,18,56,1,0.0,0.0,17.0,17.0,-55.0,-68.0,17.0,17.0,-55.0,-74.0,0.0,0.0,17.0,17.0,-50.0,-67.0,17.0,17.0,-51.0,-69.0,18.0,0.0,17.0,17.0,-47.0,-71.0,17.0,17.0,-48.0,-93.0,-82.5,23.0,-56,-84,0.0
