idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
262,2018-08-09 17:00:00,2018-08-09 17:15:00,2018-08-09 17:30:00,19,2,23,28,1,0.0,0.0,10.0,10.0,-40.0,-40.0,10.0,10.0,-42.0,-42.0,0.0,0.0,10.0,10.0,-40.0,-41.0,10.0,10.0,-42.0,-43.0,2.0,0.0,14.0,10.0,-41.0,-97.0,14.0,10.0,-43.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 17:15:00,2018-08-09 17:30:00,2018-08-09 17:45:00,19,2,23,28,1,0.0,0.0,10.0,10.0,-40.0,-41.0,10.0,10.0,-42.0,-43.0,2.0,0.0,14.0,10.0,-41.0,-97.0,14.0,10.0,-43.0,-97.0,0.0,0.0,14.0,14.0,-91.0,-97.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 17:30:00,2018-08-09 17:45:00,2018-08-09 18:00:00,19,2,23,28,1,2.0,0.0,14.0,10.0,-41.0,-97.0,14.0,10.0,-43.0,-97.0,0.0,0.0,14.0,14.0,-91.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-95.0,-97.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 17:45:00,2018-08-09 18:00:00,2018-08-09 18:15:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-91.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-95.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 18:00:00,2018-08-09 18:15:00,2018-08-09 18:30:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-95.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 18:15:00,2018-08-09 18:30:00,2018-08-09 18:45:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 18:30:00,2018-08-09 18:45:00,2018-08-09 19:00:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
262,2018-08-09 18:45:00,2018-08-09 19:00:00,2018-08-09 19:15:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
658,2019-06-07 11:15:00,2019-06-07 11:30:00,2019-06-07 11:45:00,19,6,23,28,1,0.0,0.0,18.0,18.0,-43.0,-44.0,18.0,18.0,-41.0,-42.0,0.0,0.0,18.0,18.0,-43.0,-44.0,18.0,18.0,-41.0,-42.0,1.0,0.0,20.0,18.0,-41.0,-96.0,20.0,18.0,-39.0,-42.0,-74.5,21.0,-45,-86,5.0
1719,2019-06-20 11:00:00,2019-06-20 11:15:00,2019-06-20 11:30:00,29,2,38,56,1,6.0,0.0,8.0,8.0,-37.0,-38.0,8.0,8.0,-38.0,-39.0,234.0,3.0,8.0,8.0,-37.0,-38.0,8.0,8.0,-38.0,-39.0,900.0,193.0,9.0,,-37.0,-62.0,8.0,,-37.0,-68.0,-79.5,19.0,-36,-81,2.0
