idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
194678,2019-05-27 14:45:00,2019-05-27 15:00:00,2019-05-27 15:15:00,19,8,18,56,0,20.0,0.0,17.0,17.0,-59.0,-70.0,17.0,17.0,-59.0,-70.0,38.0,1.0,17.0,17.0,-64.0,-94.0,17.0,17.0,-64.0,-94.0,0.0,0.0,17.0,17.0,-80.0,-94.0,17.0,17.0,-81.0,-94.0,-68.0,19.0,-45,-84,0.0
194678,2019-05-27 15:00:00,2019-05-27 15:15:00,2019-05-27 15:30:00,19,8,18,56,0,38.0,1.0,17.0,17.0,-64.0,-94.0,17.0,17.0,-64.0,-94.0,0.0,0.0,17.0,17.0,-80.0,-94.0,17.0,17.0,-81.0,-94.0,0.0,0.0,17.0,17.0,-73.0,-94.0,17.0,17.0,-74.0,-94.0,-68.0,19.0,-45,-84,0.0
194678,2019-05-27 15:15:00,2019-05-27 15:30:00,2019-05-27 15:45:00,19,8,18,56,0,0.0,0.0,17.0,17.0,-80.0,-94.0,17.0,17.0,-81.0,-94.0,0.0,0.0,17.0,17.0,-73.0,-94.0,17.0,17.0,-74.0,-94.0,21.0,0.0,17.0,17.0,-62.0,-85.0,17.0,17.0,-62.0,-88.0,-68.0,19.0,-45,-84,0.0
109566,2019-05-27 13:15:00,2019-05-27 13:30:00,2019-05-27 13:45:00,19,8,18,56,0,1.0,0.0,18.0,18.0,-39.0,-87.0,18.0,18.0,-39.0,-90.0,0.0,0.0,18.0,18.0,-70.0,-94.0,18.0,18.0,-73.0,-94.0,47.0,1.0,18.0,18.0,-64.0,-94.0,18.0,18.0,-66.0,-94.0,-68.0,19.0,-37,-84,0.0
109566,2019-05-27 13:15:00,2019-05-27 13:30:00,2019-05-27 13:45:00,19,8,18,56,0,1.0,0.0,18.0,18.0,-39.0,-86.0,18.0,18.0,-38.0,-89.0,0.0,0.0,18.0,18.0,-70.0,-94.0,18.0,18.0,-73.0,-94.0,44.0,0.0,18.0,18.0,-63.0,-94.0,18.0,18.0,-66.0,-94.0,-68.0,19.0,-37,-84,0.0
4080,2019-06-05 16:00:00,2019-06-05 16:15:00,2019-06-05 16:30:00,19,5,13,28,1,0.0,0.0,23.0,23.0,-48.0,-54.0,23.0,23.0,-47.0,-54.0,0.0,0.0,25.0,23.0,-53.0,-76.0,25.0,23.0,-53.0,-77.0,7.0,0.0,25.0,,-64.0,-90.0,25.0,24.0,-64.0,-96.0,-78.5,25.0,-49,-87,0.0
4080,2019-06-05 16:15:00,2019-06-05 16:30:00,2019-06-05 16:45:00,19,5,13,28,1,0.0,0.0,25.0,23.0,-53.0,-76.0,25.0,23.0,-53.0,-77.0,7.0,0.0,25.0,,-64.0,-90.0,25.0,24.0,-64.0,-96.0,48.0,4.0,25.0,23.0,-61.0,-84.0,25.0,23.0,-61.0,-84.0,-78.5,25.0,-49,-87,0.0
4080,2019-06-05 16:30:00,2019-06-05 16:45:00,2019-06-05 17:00:00,19,5,13,28,1,7.0,0.0,25.0,,-64.0,-90.0,25.0,24.0,-64.0,-96.0,48.0,4.0,25.0,23.0,-61.0,-84.0,25.0,23.0,-61.0,-84.0,7.0,0.0,25.0,23.0,-47.0,-93.0,25.0,23.0,-47.0,-93.0,-78.5,25.0,-49,-87,0.0
4201,2019-06-05 18:30:00,2019-06-05 18:45:00,2019-06-05 19:00:00,19,2,18,28,1,0.0,0.0,19.0,19.0,-42.0,-42.0,19.0,19.0,-41.0,-41.0,0.0,0.0,19.0,19.0,-41.0,-43.0,19.0,19.0,-41.0,-42.0,18.0,3.0,23.0,19.0,-42.0,-82.0,23.0,19.0,-42.0,-94.0,-85.0,23.0,-42,-86,0.0
3924,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,19,2,18,56,1,0.0,0.0,15.0,15.0,-49.0,-50.0,15.0,15.0,-49.0,-50.0,0.0,0.0,19.0,15.0,-50.0,-72.0,19.0,15.0,-49.0,-72.0,38.0,3.0,19.0,15.0,-57.0,-88.0,19.0,15.0,-57.0,-91.0,-82.5,23.0,-46,-84,0.0
