idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
287,2018-10-29 15:30:00,2018-10-29 15:45:00,2018-10-29 16:00:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-49.0,-49.0,18.0,18.0,-50.0,-50.0,0.0,0.0,18.0,18.0,-49.0,-53.0,18.0,18.0,-50.0,-53.0,19.0,0.0,22.0,18.0,-52.0,-97.0,22.0,18.0,-52.0,-96.0,-85.0,23.0,-44,-86,0.0
287,2019-05-28 15:45:00,2019-05-28 16:00:00,2019-05-28 16:15:00,19,2,18,28,1,0.0,0.0,20.0,18.0,-48.0,-72.0,22.0,18.0,-49.0,-75.0,18.0,0.0,22.0,19.0,-69.0,-90.0,22.0,22.0,-72.0,-93.0,86.0,1.0,22.0,19.0,-71.0,-94.0,22.0,19.0,-70.0,-91.0,-85.0,23.0,-44,-86,1.0
287,2019-05-28 15:30:00,2019-05-28 15:45:00,2019-05-28 16:00:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-48.0,-49.0,18.0,18.0,-49.0,-50.0,0.0,0.0,20.0,18.0,-48.0,-72.0,22.0,18.0,-49.0,-75.0,18.0,0.0,22.0,19.0,-69.0,-90.0,22.0,22.0,-72.0,-93.0,-85.0,23.0,-44,-86,1.0
1423,2019-06-05 04:15:00,2019-06-05 04:30:00,2019-06-05 04:45:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,5.0
1423,2019-06-05 12:15:00,2019-06-05 12:30:00,2019-06-05 12:45:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,5.0
1423,2019-06-05 13:30:00,2019-06-05 13:45:00,2019-06-05 14:00:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,5.0
1423,2019-06-05 02:30:00,2019-06-05 02:45:00,2019-06-05 03:00:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,5.0
1423,2019-06-05 05:00:00,2019-06-05 05:15:00,2019-06-05 05:30:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-34.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-34.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-34.0,-35.0,-85.0,23.0,-49,-86,5.0
1423,2019-06-05 05:45:00,2019-06-05 06:00:00,2019-06-05 06:15:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-34.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-34.0,-35.0,-85.0,23.0,-49,-86,5.0
1423,2019-06-05 20:30:00,2019-06-05 20:45:00,2019-06-05 21:00:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,5.0
