idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
194678,2019-05-27 14:30:00,2019-05-27 14:45:00,2019-05-27 15:00:00,19,8,18,56,0,92.0,6.0,17.0,17.0,-52.0,-74.0,17.0,17.0,-51.0,-74.0,39.0,0.0,17.0,17.0,-60.0,-71.0,17.0,17.0,-60.0,-71.0,61.0,4.0,17.0,17.0,-65.0,-94.0,17.0,17.0,-66.0,-94.0,-68.0,19.0,-45,-84,0.0
21270,2018-11-20 12:00:00,2018-11-20 12:15:00,2018-11-20 12:30:00,27,2,80,250,1,22.0,0.0,18.0,5.0,-59.0,-86.0,18.0,-2.0,-58.0,-86.0,1.0,0.0,18.0,-2.0,-59.0,-87.0,18.0,-2.0,-58.0,-86.0,15.0,0.0,18.0,-2.0,-74.0,-86.0,18.0,-2.0,-70.0,-86.0,-68.0,18.0,-43,-73,0.0
527535,2019-06-20 15:45:00,2019-06-20 16:00:00,2019-06-20 16:15:00,19,6,18,28,0,0.0,0.0,20.0,20.0,-57.0,-58.0,20.0,20.0,-55.0,-57.0,0.0,0.0,20.0,20.0,-57.0,-58.0,20.0,20.0,-55.0,-56.0,46.0,6.0,20.0,20.0,-57.0,-85.0,20.0,20.0,-56.0,-80.0,-74.5,21.0,-55,-86,0.0
21270,2018-11-20 12:45:00,2018-11-20 13:00:00,2018-11-20 13:15:00,27,2,80,250,1,6.0,0.0,18.0,-2.0,-62.0,-87.0,18.0,4.0,-62.0,-86.0,0.0,0.0,18.0,13.0,-62.0,-77.0,18.0,13.0,-60.0,-74.0,16.0,0.0,18.0,13.0,-55.0,-82.0,18.0,13.0,-55.0,-79.0,-68.0,18.0,-43,-73,0.0
64149,2018-09-06 15:30:00,2018-09-06 15:45:00,2018-09-06 16:00:00,19,3,18,28,1,0.0,0.0,20.0,19.0,-43.0,-65.0,19.0,19.0,-41.0,-66.0,30.0,6.0,23.0,19.0,-62.0,-95.0,23.0,19.0,-63.0,-97.0,4.0,0.0,23.0,19.0,-64.0,-96.0,23.0,19.0,-64.0,-97.0,-79.5,23.0,-47,-86,0.0
563029,2018-11-04 03:15:00,2018-11-04 03:30:00,2018-11-04 03:45:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
8382,2019-06-20 04:00:00,2019-06-20 04:15:00,2019-06-20 04:30:00,19,9,11,40,0,192.0,113.0,23.0,23.0,-59.0,-93.0,23.0,23.0,-61.0,-95.0,0.0,0.0,23.0,23.0,-70.0,-95.0,23.0,23.0,-71.0,-95.0,60.0,33.0,23.0,23.0,-60.0,-93.0,23.0,23.0,-62.0,-95.0,-66.5,23.0,-40,-85,0.0
527535,2019-06-20 16:00:00,2019-06-20 16:15:00,2019-06-20 16:30:00,19,6,18,28,0,0.0,0.0,20.0,20.0,-57.0,-58.0,20.0,20.0,-55.0,-56.0,46.0,6.0,20.0,20.0,-57.0,-85.0,20.0,20.0,-56.0,-80.0,0.0,0.0,20.0,20.0,-84.0,-96.0,20.0,20.0,-79.0,-85.0,-74.5,21.0,-55,-86,0.0
563029,2018-11-04 01:15:00,2018-11-04 01:30:00,2018-11-04 01:45:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
76918,2019-05-27 15:45:00,2019-05-27 16:00:00,2019-05-27 16:15:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-50.0,-52.0,18.0,18.0,-50.0,-52.0,0.0,0.0,18.0,18.0,-50.0,-59.0,18.0,18.0,-51.0,-60.0,49.0,0.0,18.0,18.0,-51.0,-94.0,18.0,18.0,-51.0,-94.0,-64.5,18.0,-40,-84,0.0
21270,2018-12-16 22:00:00,2018-12-16 22:15:00,2018-12-16 22:30:00,27,2,80,250,1,0.0,0.0,15.0,13.0,-60.0,-68.0,15.0,13.0,-61.0,-69.0,0.0,0.0,18.0,13.0,-58.0,-77.0,18.0,13.0,-60.0,-73.0,21.0,0.0,18.0,13.0,-62.0,-84.0,18.0,13.0,-62.0,-85.0,-68.0,18.0,-43,-73,0.0
