idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,0.0,1.0,2.0,3.0,4.0,5.0
107211,2019-05-27 06:45:00,2019-05-27 07:00:00,2019-05-27 07:15:00,19,3,38,28,1,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,-77.5,19.0,-41,-84,0.0,0.0,0.0,0.0,0.0,1.0
7774,2019-01-02 13:00:00,2019-01-02 13:15:00,2019-01-02 13:30:00,19,2,38,28,1,1.0,0.0,11.0,11.0,-31.0,-31.0,11.0,11.0,-31.0,-32.0,70.0,9.0,15.0,11.0,-26.0,-31.0,15.0,11.0,-27.0,-41.0,69.0,27.0,15.0,11.0,-25.0,-31.0,15.0,11.0,-26.0,-32.0,-83.0,19.0,-41,-84,0.0,0.0,0.0,0.0,1.0,0.0
1423,2019-06-05 18:45:00,2019-06-05 19:00:00,2019-06-05 19:15:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,0.0,0.0,0.0,0.0,0.0,1.0
75153,2018-11-03 19:00:00,2018-11-03 19:15:00,2018-11-03 19:30:00,19,9,18,56,0,10.0,0.0,17.0,17.0,-49.0,-69.0,17.0,17.0,-51.0,-72.0,0.0,0.0,17.0,17.0,-49.0,-55.0,17.0,17.0,-50.0,-56.0,25.0,15.0,17.0,17.0,-51.0,-81.0,17.0,17.0,-53.0,-85.0,-64.5,18.0,-40,-84,0.0,0.0,0.0,1.0,0.0,0.0
78061,2018-11-17 04:45:00,2018-11-17 05:00:00,2018-11-17 05:15:00,19,3,42,56,1,116.0,31.0,6.0,2.0,-51.0,-51.0,6.0,6.0,-38.0,-44.0,80.0,24.0,6.0,2.0,-51.0,-51.0,6.0,6.0,-38.0,-44.0,103.0,39.0,6.0,2.0,-51.0,-51.0,6.0,6.0,-38.0,-43.0,-74.0,17.0,-38,-81,0.0,0.0,0.0,0.0,1.0,0.0
262,2018-08-09 17:00:00,2018-08-09 17:15:00,2018-08-09 17:30:00,19,2,23,28,1,0.0,0.0,10.0,10.0,-40.0,-40.0,10.0,10.0,-42.0,-42.0,0.0,0.0,10.0,10.0,-40.0,-41.0,10.0,10.0,-42.0,-43.0,2.0,0.0,14.0,10.0,-41.0,-97.0,14.0,10.0,-43.0,-97.0,-85.0,23.0,-43,-86,1.0,0.0,0.0,0.0,0.0,0.0
14797,2018-10-28 10:00:00,2018-10-28 10:15:00,2018-10-28 10:30:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-45.0,-50.0,17.0,17.0,-46.0,-51.0,0.0,0.0,17.0,17.0,-45.0,-52.0,17.0,17.0,-45.0,-52.0,31.0,10.0,17.0,17.0,-44.0,-67.0,17.0,17.0,-45.0,-70.0,-64.5,18.0,-47,-84,0.0,0.0,0.0,1.0,0.0,0.0
6919,2018-06-05 15:15:00,2018-06-05 15:30:00,2018-06-05 15:45:00,19,2,23,14,1,8.0,0.0,23.0,23.0,-68.0,-97.0,23.0,20.0,-66.0,-88.0,0.0,0.0,23.0,23.0,-95.0,-100.0,23.0,23.0,-87.0,-100.0,16.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,-80.0,-100.0,-87.5,23.0,-41,-89,0.0,0.0,0.0,0.0,0.0,1.0
2356,2018-12-12 15:45:00,2018-12-12 16:00:00,2018-12-12 16:15:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,44.0,14.0,7.0,3.0,-51.0,-97.0,7.0,3.0,-52.0,-98.0,30.0,12.0,7.0,3.0,-50.0,-89.0,7.0,3.0,-51.0,-94.0,-83.0,19.0,-45,-84,1.0,0.0,0.0,0.0,0.0,0.0
103260,2018-10-28 13:00:00,2018-10-28 13:15:00,2018-10-28 13:30:00,19,2,38,56,1,108.0,14.0,13.0,13.0,-73.0,-94.0,13.0,13.0,-72.0,-94.0,105.0,17.0,13.0,13.0,-69.0,-91.0,13.0,13.0,-68.0,-90.0,86.0,24.0,13.0,9.0,-53.0,-94.0,13.0,9.0,-53.0,-93.0,-80.5,19.0,-37,-82,1.0,0.0,0.0,0.0,0.0,0.0
